tablescraper-selected-row,tablescraper-selected-row href,tablescraper-selected-row 2,tablescraper-selected-row 3,tablescraper-selected-row href 2,tablescraper-selected-row 4,tablescraper-selected-row href 3
00704,https://www.zipdatamaps.com/00704,Non-Unique,Aguirre,https://www.zipdatamaps.com/zipcodes-aguirre-pr,Salinas,https://www.zipdatamaps.com/salinas-pr-county-zipcodes
00705,https://www.zipdatamaps.com/00705,Non-Unique,Aibonito,https://www.zipdatamaps.com/zipcodes-aibonito-pr,Aibonito,https://www.zipdatamaps.com/aibonito-pr-county-zipcodes
00707,https://www.zipdatamaps.com/00707,Non-Unique,Maunabo,https://www.zipdatamaps.com/zipcodes-maunabo-pr,Maunabo,https://www.zipdatamaps.com/maunabo-pr-county-zipcodes
00714,https://www.zipdatamaps.com/00714,Non-Unique,Arroyo,https://www.zipdatamaps.com/zipcodes-arroyo-pr,Arroyo,https://www.zipdatamaps.com/arroyo-pr-county-zipcodes
00715,https://www.zipdatamaps.com/00715,Non-Unique,Mercedita,https://www.zipdatamaps.com/zipcodes-mercedita-pr,Ponce,https://www.zipdatamaps.com/ponce-pr-county-zipcodes
00716,https://www.zipdatamaps.com/00716,Non-Unique,Ponce,https://www.zipdatamaps.com/zipcodes-ponce-pr,Ponce,https://www.zipdatamaps.com/ponce-pr-county-zipcodes
00717,https://www.zipdatamaps.com/00717,Non-Unique,Ponce,https://www.zipdatamaps.com/zipcodes-ponce-pr,Ponce,https://www.zipdatamaps.com/ponce-pr-county-zipcodes
00718,https://www.zipdatamaps.com/00718,Non-Unique,Naguabo,https://www.zipdatamaps.com/zipcodes-naguabo-pr,Naguabo,https://www.zipdatamaps.com/naguabo-pr-county-zipcodes
00719,https://www.zipdatamaps.com/00719,Non-Unique,Naranjito,https://www.zipdatamaps.com/zipcodes-naranjito-pr,Naranjito,https://www.zipdatamaps.com/naranjito-pr-county-zipcodes
00720,https://www.zipdatamaps.com/00720,Non-Unique,Orocovis,https://www.zipdatamaps.com/zipcodes-orocovis-pr,Orocovis,https://www.zipdatamaps.com/orocovis-pr-county-zipcodes
00721,https://www.zipdatamaps.com/00721,PO Box,Palmer,https://www.zipdatamaps.com/zipcodes-palmer-pr,San Juan,https://www.zipdatamaps.com/san-juan-pr-county-zipcodes
